C64,is_high_regime,high_regime_days,days_since_last_pm,C33,dslp_x_hour,hour,hour_x_c33,is_special_recipe
C64_10423,1,1.4732615740740742,1.4732615740740742,3.0,16.205877314814817,11,33.0,0
C64_10424,1,1.4625277777777776,1.4625277777777776,3.0,16.087805555555555,11,33.0,0
C64_10425,1,1.461207175925926,1.461207175925926,3.0,16.073278935185186,11,33.0,0
C64_10426,1,1.4598530092592592,1.4598530092592592,3.0,16.058383101851852,11,33.0,0
C64_10427,1,1.4638819444444444,1.4638819444444444,3.0,16.10270138888889,11,33.0,0
C64_10428,1,1.465236111111111,1.465236111111111,3.0,16.11759722222222,11,33.0,0
C64_10429,1,1.4665567129629629,1.4665567129629629,3.0,16.13212384259259,11,33.0,0
C64_1043,0,0.0,1.055394675925926,5.0,1.055394675925926,1,5.0,0
C64_1045,0,0.0,1.05925,5.0,1.05925,1,5.0,0
C64_10483,1,1.3816956018518518,1.3816956018518518,3.0,12.435260416666667,9,27.0,0
C64_10485,1,1.384474537037037,1.384474537037037,3.0,12.460270833333333,9,27.0,0
C64_10486,1,1.3896851851851852,1.3896851851851852,3.0,12.507166666666667,9,27.0,0
C64_10489,1,1.3949004629629629,1.3949004629629629,3.0,12.554104166666665,9,27.0,0
C64_10490,1,1.3962164351851853,1.3962164351851853,3.0,12.565947916666667,9,27.0,0
C64_10517,1,1.3651284722222223,1.3651284722222223,3.0,10.921027777777779,8,24.0,0
C64_10518,1,1.3772141203703705,1.3772141203703705,3.0,12.394927083333334,9,27.0,0
C64_10521,1,1.371866898148148,1.371866898148148,3.0,10.974935185185185,8,24.0,0
C64_10522,1,1.3691921296296297,1.3691921296296297,3.0,10.953537037037037,8,24.0,0
C64_10524,1,1.3678368055555556,1.3678368055555556,3.0,10.942694444444445,8,24.0,0
C64_10525,1,1.370511574074074,1.370511574074074,3.0,10.964092592592593,8,24.0,0
C64_10526,1,1.375894675925926,1.375894675925926,3.0,12.383052083333334,9,27.0,0
C64_10527,1,1.3798888888888887,1.3798888888888887,3.0,12.418999999999999,9,27.0,0
C64_10528,1,1.34890625,1.34890625,3.0,10.79125,8,24.0,0
C64_10529,1,1.3619375,1.3619375,3.0,10.8955,8,24.0,0
C64_10530,1,1.3567222222222222,1.3567222222222222,3.0,10.853777777777777,8,24.0,0
C64_10532,1,1.3527962962962963,1.3527962962962963,3.0,10.82237037037037,8,24.0,0
C64_10533,1,1.3515115740740742,1.3515115740740742,3.0,10.812092592592593,8,24.0,0
C64_10534,1,1.3501921296296298,1.3501921296296298,3.0,10.801537037037038,8,24.0,0
C64_10536,1,1.3541157407407407,1.3541157407407407,3.0,10.832925925925926,8,24.0,0
C64_10537,1,1.358042824074074,1.358042824074074,3.0,10.864342592592592,8,24.0,0
C64_10538,1,1.3593275462962962,1.3593275462962962,3.0,10.87462037037037,8,24.0,0
C64_10539,1,1.3606493055555555,1.3606493055555555,3.0,10.885194444444444,8,24.0,0
C64_10540,1,1.3636087962962964,1.3636087962962964,3.0,10.908870370370371,8,24.0,0
C64_10566,1,1.3429328703703702,1.3429328703703702,3.0,10.743462962962962,8,24.0,0
C64_10567,1,1.334908564814815,1.334908564814815,3.0,10.67926851851852,8,24.0,0
C64_10569,1,1.3139305555555556,1.3139305555555556,3.0,9.197513888888889,7,21.0,0
C64_10570,1,1.3087199074074074,1.3087199074074074,3.0,9.161039351851851,7,21.0,0
C64_10571,1,1.3047939814814815,1.3047939814814815,3.0,9.133557870370371,7,21.0,0
C64_10597,1,1.2830127314814814,1.2830127314814814,3.0,7.698076388888889,6,18.0,0
C64_10598,1,1.2964560185185185,1.2964560185185185,3.0,9.07519212962963,7,21.0,0
C64_106,0,0.0,0.6687604166666666,4.0,10.700166666666666,16,64.0,0
C64_10604,1,1.2883969907407407,1.2883969907407407,3.0,7.730381944444444,6,18.0,0
C64_10606,1,1.2857222222222222,1.2857222222222222,3.0,7.714333333333333,6,18.0,0
C64_10607,1,1.2844016203703703,1.2844016203703703,3.0,7.706409722222222,6,18.0,0
C64_10608,1,1.265332175925926,1.265332175925926,3.0,7.591993055555555,6,18.0,0
C64_10609,1,1.278539351851852,1.278539351851852,3.0,7.671236111111112,6,18.0,0
C64_10610,1,1.2759270833333334,1.2759270833333334,3.0,7.6555625,6,18.0,0
C64_10623,1,1.2568217592592592,1.2568217592592592,3.0,7.540930555555555,6,18.0,0
C64_1066,0,0.0,1.0003738425925925,5.0,0.0,0,0.0,0
C64_1067,0,0.0,1.0094386574074075,5.0,0.0,0,0.0,0
C64_10676,1,1.154037037037037,1.154037037037037,3.0,3.4621111111111107,3,9.0,0
C64_10677,1,1.1514328703703705,1.1514328703703705,3.0,3.4542986111111116,3,9.0,0
C64_10678,1,1.147505787037037,1.147505787037037,3.0,3.4425173611111113,3,9.0,0
C64_10679,1,1.1460127314814814,1.1460127314814814,3.0,3.4380381944444443,3,9.0,0
C64_1068,0,0.0,1.008292824074074,5.0,0.0,0,0.0,0
C64_10680,1,1.1501122685185186,1.1501122685185186,3.0,3.4503368055555557,3,9.0,0
C64_10681,1,1.1527523148148149,1.1527523148148149,3.0,3.458256944444445,3,9.0,0
C64_10682,1,1.1553564814814816,1.1553564814814816,3.0,3.466069444444445,3,9.0,0
C64_1069,0,0.0,1.0056539351851852,5.0,0.0,0,0.0,0
C64_107,0,0.0,0.6714050925925926,4.0,10.742481481481482,16,64.0,0
C64_1070,0,0.0,1.0043333333333333,5.0,0.0,0,0.0,0
C64_10702,1,1.1442418981481481,1.1442418981481481,3.0,3.4327256944444446,3,9.0,0
C64_10703,1,1.142886574074074,1.142886574074074,3.0,3.4286597222222217,3,9.0,0
C64_10704,1,1.1402118055555557,1.1402118055555557,3.0,3.4206354166666673,3,9.0,0
C64_10706,1,1.1375381944444445,1.1375381944444445,3.0,3.4126145833333332,3,9.0,0
C64_10709,1,1.1321979166666667,1.1321979166666667,3.0,3.39659375,3,9.0,0
C64_1071,0,0.0,1.001693287037037,5.0,0.0,0,0.0,0
C64_1072,0,0.0,1.0030138888888889,5.0,0.0,0,0.0,0
C64_10724,1,1.111486111111111,1.111486111111111,3.0,2.222972222222222,2,6.0,0
C64_10726,1,1.1193020833333334,1.1193020833333334,3.0,2.2386041666666667,2,6.0,0
C64_10727,1,1.117982638888889,1.117982638888889,3.0,2.235965277777778,2,6.0,0
C64_10729,1,1.1101666666666665,1.1101666666666665,3.0,2.220333333333333,2,6.0,0
C64_10730,1,1.1089155092592593,1.1089155092592593,3.0,2.2178310185185186,2,6.0,0
C64_10731,1,1.1127719907407407,1.1127719907407407,3.0,2.2255439814814815,2,6.0,0
C64_10732,1,1.1154108796296296,1.1154108796296296,3.0,2.230821759259259,2,6.0,0
C64_10734,1,1.1232280092592593,1.1232280092592593,3.0,2.2464560185185185,2,6.0,0
C64_1074,0,0.0,2.434824074074074,7.0,24.34824074074074,10,70.0,0
C64_1075,0,0.0,2.445306712962963,7.0,24.45306712962963,10,70.0,0
C64_1076,0,0.0,2.441451388888889,7.0,24.41451388888889,10,70.0,0
C64_1077,0,0.0,2.4375601851851854,7.0,24.375601851851854,10,70.0,0
C64_1078,0,0.0,2.4362754629629633,7.0,24.362754629629634,10,70.0,0
C64_1079,0,0.0,2.4388460648148147,7.0,24.388460648148147,10,70.0,0
C64_108,0,0.0,0.6743530092592592,4.0,10.789648148148148,16,64.0,0
C64_1080,0,0.0,2.440165509259259,7.0,24.40165509259259,10,70.0,0
C64_10835,1,2.7860590277777777,2.7860590277777777,7.0,50.1490625,18,126.0,0
C64_10836,1,2.7874143518518517,2.7874143518518517,7.0,50.17345833333333,18,126.0,0
C64_10837,1,2.7887337962962966,2.7887337962962966,7.0,50.197208333333336,18,126.0,0
C64_10838,1,2.790019675925926,2.790019675925926,7.0,50.22035416666667,18,126.0,0
C64_1084,0,0.0,2.4478773148148147,7.0,24.478773148148147,10,70.0,0
