number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,user_attrs_mean_best_iter,state
30,67.34105787760801,2026-07-16 11:15:52.496458,2026-07-16 11:16:09.113627,0 days 00:00:16.617169,0.5365905260051694,1,0.7114607735927481,0.0019297355872959054,4.248967065312923,0.01225552375757545,74,0.5714691773674869,46,355.0,COMPLETE
31,67.24491767020783,2026-07-16 11:16:09.113627,2026-07-16 11:16:25.473077,0 days 00:00:16.359450,0.5381949843177448,1,0.7151064718796936,0.0017484066095383435,4.585853782846749,0.011961122648259192,76,0.5556042068200792,43,370.0,COMPLETE
32,67.30427716156645,2026-07-16 11:16:25.473077,2026-07-16 11:16:42.512059,0 days 00:00:17.038982,0.5447704762335608,1,0.7047868408143789,0.0018538609933024704,3.920089759819717,0.012269817959780776,74,0.6008984236501816,47,356.0,COMPLETE
33,67.31293769138918,2026-07-16 11:16:42.512059,2026-07-16 11:17:06.785034,0 days 00:00:24.272975,0.5340561113248727,1,0.7179083418303508,0.0022576891313864584,2.2556244025011334,0.008282563676055319,74,0.5876739105097958,72,521.0,COMPLETE
34,68.03236306078867,2026-07-16 11:17:06.785034,2026-07-16 11:17:22.557641,0 days 00:00:15.772607,0.5804586415740952,1,0.7811307569818632,0.003435398873801833,2.0147517632516547,0.008232832125167715,77,0.7296769962728582,74,,PRUNED
35,67.1881805821183,2026-07-16 11:17:22.557641,2026-07-16 11:17:32.785987,0 days 00:00:10.228346,0.5013339806386407,1,0.7409390786995196,0.003499740770885901,9.261943764519831,0.015759688138603782,92,0.6010825598719414,42,304.0,COMPLETE
36,68.0561444953652,2026-07-16 11:17:32.785987,2026-07-16 11:17:40.749475,0 days 00:00:07.963488,0.5040200259301204,2,0.7607343404593884,0.0036608260147381216,9.4138176780822,0.016435039083468096,93,0.7090231095026372,44,,PRUNED
37,67.2914755198877,2026-07-16 11:17:40.749475,2026-07-16 11:17:55.481458,0 days 00:00:14.731983,0.5837104074827603,1,0.8011155418399256,0.0015266569911422492,6.452734520129731,0.014512428002755578,88,0.6528096746588361,44,326.0,COMPLETE
38,66.808123878342,2026-07-16 11:17:55.481458,2026-07-16 11:18:07.677081,0 days 00:00:12.195623,0.5869616665395424,1,0.812060049840813,0.007719881446372077,5.493057279528549,0.01518261037089643,83,0.5297910269258977,62,,PRUNED
39,68.118806443684,2026-07-16 11:18:07.677081,2026-07-16 11:18:14.375939,0 days 00:00:06.698858,0.5991301868494522,2,0.7529849248396379,0.003671002297280574,6.466174975461334,0.026083186608288088,89,0.7684485715225716,91,,PRUNED
